NAA,CH,BC,R,RL,NR,NLR
4,0.5,1.32,63,5,3,0
4,0.5,2.1,57,10,3,0
4,0.5,1.67,50,11,2,0
4,0.5,2.1,43,23,2,0
4,0.5,1.34,44,34,6,0
4,0.5,1.67,50,13,3,0
4,0.5,1.1,20,14,3,0
4,0.5,1.34,50,15,2,0
4,0.5,1.67,47,16,2,0
4,0.5,2.4,50,24,2,0
4,0.5,1.34,50,24,3,0
4,0.7,1.3,45,59,2,1
4,0.7,1.4,78,68,2,2
4,0.7,1.32,43,78,2,1
4,0.7,1.35,78,36,4,1
4,0.7,1.43,58,66,2,1
4,0.7,1.3,78,47,2,1
4,0.7,1.3,43,71,3,2
4,0.7,1.3,55,93,3,5
4,0.7,1.3,79,53,5,0
4,0.7,1.32,79,35,2,2
4,0.7,1.43,60,44,2,0
4,0.7,1.24,79,54,1,2
4,0.7,1.91,89,77,1,0
4,0.7,1.32,54,76,1,0
4,0.9,0.9,53,10,2,5
4,0.9,1.2,66,10,2,5
4,0.9,1.3,87,10,2,5
4,0.9,1.37,72,10,2,5
4,0.9,0.9,34,10,2,5
4,0.9,1.3,56,10,2,5
4,0.9,1,79,31,2,2
4,0.9,1.34,43,11,2,6
4,0.9,1.24,57,30,2,3
4,0.9,1.48,41,14,2,5
4,1,1.3,28,9,2,3
4,1,1.3,30,5,1,4
4,1,1.3,47,4,1,5
4,1,1.4,67,2,1,4
4,1,1.31,48,5,1,3
4,1,1.32,44,7,1,5
4,1,1.35,25,13,1,3
4,1,1.31,37,7,1,2
4,1,1.9,28,5,1,1
4,1,1.73,28,9,1,3
4,1,0.9,41,3,1,4
4,1,1.3,36,3,1,2
4,1,1,39,2,1,1
6,0,10.1,0,0,0,0
6,0,13.6,0,0,0,0
6,0,10.2,0,0,0,0
6,0,10.5,0,0,0,0
6,0,13,0,0,0,0
6,0,10.7,0,0,0,0
6,0,10.6,0,0,0,0
6,0,10.5,0,0,0,0
6,0,9.5,0,0,0,0
6,0,9.3,0,0,0,0
6,0,10.1,0,0,0,0
6,0,12.6,0,0,0,0
6,0,12.5,0,0,0,0
6,0,12.5,0,0,0,0
6,0,12.7,0,0,0,0
6,0,12.1,0,0,0,0
6,0,11,0,0,0,0
6,0,10.2,0,0,0,0
6,0,11.5,0,0,0,0
6,0,13.2,0,0,0,0
6,0,10.7,0,0,0,0
6,0,10.6,0,0,0,0
6,0,12.5,0,0,0,0
6,0.1,2.32,0,0,0,0
6,0.1,2.1,0,0,0,0
6,0.1,1.67,0,0,0,0
6,0.1,2.1,0,0,0,0
6,0.1,2.34,0,0,0,0
6,0.1,2.33,0,0,0,0
6,0.1,2.11,0,0,0,0
6,0.1,2.32,0,0,0,0
6,0.1,2.13,0,0,0,0
6,0.1,2.11,0,0,0,0
6,0.1,2.08,0,0,0,0
6,0.1,2.3,0,0,0,0
6,0.1,2.45,0,0,0,0
6,0.1,2.53,0,0,0,0
6,0.1,2.67,0,0,0,0
6,0.1,2.4,0,0,0,0
6,0.1,2.4,0,0,0,0
6,0.1,2.97,0,0,0,0
6,0.1,2.3,0,0,0,0
6,0.1,1.62,0,0,0,0
6,0.1,1.63,0,0,0,0
6,0.1,2.52,0,0,0,0
6,0.1,2.5,0,0,0,0
6,0.3,1.4,3,2,1,0
6,0.3,1.9,21,1,1,0
6,0.3,1.3,17,1,1,0
6,0.3,1.54,12,2,1,0
6,0.3,1.32,12,2,1,0
6,0.3,1.2,12,2,1,0
6,0.3,2.3,36,2,1,0
6,0.3,1.63,17,5,1,0
6,0.3,0.5,17,2,1,0
6,0.3,1.3,24,4,1,0
6,0.3,1.7,30,2,1,0
6,0.3,1.62,24,2,1,0
6,0.3,1.3,32,2,1,0
6,0.3,1.43,28,7,1,0
6,0.5,1.35,21,7,1,0
6,0.5,1.32,28,17,2,0
6,0.5,1.3,27,7,2,0
6,0.5,1.3,21,7,3,0
6,0.5,1.3,12,17,2,0
6,0.5,1.35,9,23,2,0
6,0.5,1.37,22,8,2,0
6,0.5,1.32,23,7,2,0
6,0.7,1.35,33,8,1,3
6,0.7,1.32,36,28,1,0
6,0.7,1.2,37,17,1,0
6,0.7,1,33,7,1,0
6,0.7,1.34,40,25,1,0
6,0.7,1,20,13,1,0
6,0.7,1.35,23,9,1,0
6,0.7,1.4,37,25,1,0
6,0.7,1.2,23,9,2,0
6,0.7,1,44,8,2,0
6,0.7,1.35,34,28,1,0
6,0.7,1.2,15,17,1,0
6,0.7,1,44,13,1,2
6,0.7,1.3,23,9,1,2
6,0.7,1.52,26,8,1,2
6,0.7,1.32,25,28,1,4
6,0.9,1.32,32,27,1,3
6,0.9,1.34,54,27,1,4
6,0.9,1.32,32,27,1,1
6,0.9,1.31,21,27,3,5
6,0.9,1.32,29,13,3,1
6,0.9,1.3,32,24,4,1
6,0.9,1,19,28,4,1
6,0.9,1.32,26,17,1,1
6,0.9,1.35,24,8,1,1
6,1,1.32,0,0,0,0
6,1,1.35,0,0,0,0
6,1,1.31,0,0,0,0
6,1,1.2,0,0,0,0
6,1,1,0,0,0,0
6,1,1.34,0,0,0,0
6,1,1,0,0,0,0
6,1,1.3,0,0,0,0
6,1,1.52,0,0,0,0
6,1,1.32,0,0,0,0
6,1,1,0,0,0,0
6,1,1.32,0,0,0,0
6,1,1.35,0,0,0,0
6,1,1,0,0,0,0
6,1,1.42,0,0,0,0
6,1,1.32,0,0,0,0
6,1,1.35,0,0,0,0
6,1,1.31,0,0,0,0
6,1,1.2,0,0,0,0
6,1,1,0,0,0,0
6,1,1.34,0,0,0,0
6,1,1,0,0,0,0
6,1,1.3,0,0,0,0
